draft,categories,layout,publication,title,subtitle,image,date,blurb,notes,refs,sources,slug,ext,tags,image_desc
false,'_categories/journalism.md',article,_publications/exposure.md,Just Another War,"","",1990-04-01 05:00:00 +0000,"",April/May 1990,"","",just-another-war,.md,,
false,'_categories/journalism.md',article,_publications/exposure.md,Theater,"","",1990-04-01 05:00:00 +0000,"",April/May 1990,"","",theater,.md,,
false,'_categories/scholarship.md',article,_publications/new-perspectives-quarterly.md,Media: It’s the Real Thing,"","",1994-06-01 04:00:00 +0000,"Have we become a Talk Show Nation with an ""idiot culture?"" Or, is the Great Yawn about to do in the Society of the Spectacle? While Beavis and Butthead may annoy the PBS parents, don't the kids that watch it just shine it on? Ironically disposed and immune to the medium's message, is a new generation creating an authentic space of its own? The best GenX media theorist and the Librarian of Congress Emeritus address these questions for NPQ.",Summer 1994,"","",media-it-s-the-real-thing,.md,,
false,'_categories/journalism.md',article,_publications/esquire.md,The Robots That Conquered Cable,"","",1994-11-01 05:00:00 +0000,"",Nov. 1994,"","",the-robots-that-conquered-cable,.md,,
false,'_categories/journalism.md',article,_publications/swing.md,Playing Undead,,,1995-04-01 05:00:00 +0000,,,,,0771-playing-undead,.md,,
false,'_categories/journalism.md',article,_publications/time.md,They Called Me Cyberboy,,,1996-01-01 05:00:00 +0000,,Date given as 1996 on CV,,,0927-they-called-me-cyberboy,.md,,
false,'_categories/book-chapters.md',article,_publications/a-magical-universe-the-best-of-magical-blend-magazine.md,Generation X,"","",1996-01-01 05:00:00 +0000,"","","","",generation-x,.md,,
false,'_categories/journalism.md',article,_publications/usa-weekend.md,Are 'Screenagers' Wiser Than Adults?,"","",1996-06-14 04:00:00 +0000,"","June 14-16, 1996 issue","","",are-screenagers-wiser-than-adults,.md,,
false,'_categories/journalism.md',article,_publications/san-francisco-chronicle.md,Rushkoff Plays the Future,"","",1996-06-27 04:00:00 +0000,"",also appeared in June 1996 issue of Paper,"","",rushkoff-plays-the-future,.md,,
false,'_categories/journalism.md',article,_publications/chicago-herald.md,Kid culture,"","",1996-07-25 04:00:00 +0000,"Today's child is computer-savvy, sophisticated, somewhat isolated, possibly disillusioned, says writer Douglas Rushkoff. But he wants to ease parents' fears about all this","","","",kid-culture,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Apple Pie,,,1996-08-01 04:00:00 +0000,Is the Internet American?,,,,0850-apple-pie,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Click Culture,,,1996-08-01 04:00:00 +0000,Thoughts on the strength of mouse-driven attention spans,,,,0859-click-culture,.md,,
false,'_categories/journalism.md',article,_publications/esquire.md,Leary's Last Trip,,,1996-08-01 04:00:00 +0000,,,,,1035-learys-last-trip,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,"One World, First World",,,1996-10-01 04:00:00 +0000,Is the Internet a First-World-Only phenomenon?,,,,0891-one-world-first-world,.md,,
false,'_categories/journalism.md',article,_publications/men-s-health.md,Tech-tube children,"","",1996-10-01 04:00:00 +0000,"The kids who love Sega and Beavis are growing up, and they want your job",October 1996,"","",tech-tube-children,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,A Tangled Web,,,1996-12-01 05:00:00 +0000,Mixed feelings about the Internet's most TV-like application,,,,0848-a-tangled-web,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Connecting the Dots,,,1996-12-01 05:00:00 +0000,"TWA flight 808, CIA Crack sales, and Internet-style Conspiracy Theory",,,,0861-connecting-the-dots,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Convergence,,,1996-12-01 05:00:00 +0000,"Our Last, Best Hope For Peace",,,,0862-convergence,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Cyberpharises,,,1996-12-01 05:00:00 +0000,(Digital Nomads continued...),,,,0863-cyberpharises,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Digital Nomads,,,1996-12-01 05:00:00 +0000,Are the Digerati the New Jews?,,,,0866-digital-nomads,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Teachers vs Machines,,,1996-12-01 05:00:00 +0000,Why teachers needn't be afraid of computers in their classrooms,,,,0900-teachers-vs-machines,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Too Many Secrets,,,1996-12-01 05:00:00 +0000,"Thoughts on Cryptography, Privacy, and Secrets",,,,0919-too-many-secrets,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,your.name.here,,,1996-12-01 05:00:00 +0000,Paul Garrin's alternate network of nameservers ROCKS,,,,0926-yournamehere,.md,,
false,'_categories/journalism.md',article,_publications/world-review.md,Children of Chaos,Surviving the end of the world as we know it,"",1997-01-01 05:00:00 +0000,"The younger generation are native in a hyper-mediated, electronic world where most adults are mere immigrants.","Vol. 2, No. 3, 1997","","",children-of-chaos,.md,,
false,'_categories/book-chapters.md',article,_publications/solstice-shift-magical-blend-s-synergistic-guide-to-the-coming-age.md,The Shift Online,"","",1997-01-01 05:00:00 +0000,"","","","",the-shift-online,.md,,
false,'_categories/journalism.md',article,_publications/time-digital.md,They Called Me Cyberboy,"","",1997-01-01 05:00:00 +0000,"","Date listed in different places as 1996, 1997, or April 12 2009","","",they-called-me-cyberboy,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Fall of Wired UK,,,1997-02-01 05:00:00 +0000,Why Wired UK Never Really Existed,,,,0905-the-fall-of-wired-uk,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Wired Ventures Too Far,,,1997-02-01 05:00:00 +0000,"The humbling of Wired Magazine, and why we should welcome them back into the real world",,,,0924-wired-ventures-too-far,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Designer Apocalypse,,,1997-03-01 05:00:00 +0000,One reaction to the Heavens Gate Cult suicide,,,,0865-designer-apocalypse,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,I Am Your Father Luke,,,1997-03-01 05:00:00 +0000,Why Luke should have accepted Darth's first offer,,,,0877-i-am-your-father-luke,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Grass Is Greener,,,1997-03-01 05:00:00 +0000,"Why filmmakers lust for what they think is interadctivity, and vis versa",,,,0910-the-grass-is-greener,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Back to Mac,,,1997-04-01 05:00:00 +0000,A Prodigal Son Returns,,,,0851-back-to-mac,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Internet Psychology,,,1997-05-01 04:00:00 +0000,Cause or Cure,,,,0878-internet-psychology,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,So Went the Salon,,,1997-05-01 04:00:00 +0000,The decline of the online community.,,,,0899-so-went-the-salon,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Future of Psychology,,,1997-05-01 04:00:00 +0000,Part two of the way technology effects psychology,,,,0907-the-future-of-psychology,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Mac Attack,,,1997-05-01 04:00:00 +0000,Response to My Decision to Leave Mac,,,,0912-the-mac-attack,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Turning My Back on Mac,,,1997-05-01 04:00:00 +0000,The day I sold my mac...,,,,0920-turning-my-back-on-mac,.md,,
false,'_categories/journalism.md',article,_publications/the-good-book-guide.md,Do Books Have a Future?,"","",1997-06-01 04:00:00 +0000,"Twenty years on, will computers make books obsolete? The Good Book Guide asked cyberguru and author Douglas Rushkoff.",Date is a guess from context; must be between May 1997 and September 1997,"","",do-books-have-a-future,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Gated Communities Online,,,1997-07-01 04:00:00 +0000,"Member-only areas, and the social costs.",,,,0874-gated-communities-online,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Electronic Acid Test,,,1997-07-01 04:00:00 +0000,The Electronic Acid Test,,,,0904-the-electronic-acid-test,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,My First Real Downgrade,,,1997-08-01 04:00:00 +0000,How Spam Nuked My Ability to Cybercommute,,,,0888-my-first-real-downgrade,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,To Have or Have Not,,,1997-08-01 04:00:00 +0000,What the Increase in Public Accessibility Means,,,,0917-to-have-or-have-not,.md,,
false,'_categories/scholarship.md',article,_publications/telemedium-the-journal-of-media-literacy.md,The End of the Story,How the TV Remote Killed Traditional Structure,"",1997-09-01 04:00:00 +0000,"",Fall 1997,"","",the-end-of-the-story-1,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Upgrade Cycles,,,1997-12-01 05:00:00 +0000,Learning to Say Enough,,,,0921-upgrade-cycles,.md,,
false,"'_categories/book-chapters.md','_categories/fiction-miscellaneous.md'",article,_publications/disco-biscuits-new-fiction-from-the-chemical-generation.md,The Snow That Killed Manuel Jarrow,"","",1998-01-01 05:00:00 +0000,"",1998,"","",the-snow-that-killed-manuel-jarrow,.md,,
false,'_categories/journalism.md',article,_publications/the-edge.md,What Questions Are You Asking Yourself?,"","",1998-01-01 05:00:00 +0000,"","[https://www.edge.org/response-detail/11740](https://www.edge.org/response-detail/11740 ""https://www.edge.org/response-detail/11740"")","","",what-questions-are-you-asking-yourself,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Hollywood Lays an Egg,,,1998-03-01 05:00:00 +0000,The myth of the Content Provider,,,,0876-hollywood-lays-an-egg,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Judge Drudge,,,1998-03-01 05:00:00 +0000,"The Drudge Reports beats the mainstream in timing, and integrity.",,,,0881-judge-drudge,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,People Who Need People,,,1998-03-01 05:00:00 +0000,How the Dwarf Beat Leonardo,,,,0893-people-who-need-people,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Technorealism,,,1998-03-01 05:00:00 +0000,Why I Signed on to the Controversial Middle-Ground,,,,0901-technorealism,.md,,
false,'_categories/journalism.md',article,_publications/nation.md,Technorealism: Get Real!,,,1998-04-06 04:00:00 +0000,,,,,1039-technorealism-get-real,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Shareware Universe,,,1998-05-01 04:00:00 +0000,"Why innovation happens through cooperation, not competition.",,,,0915-the-shareware-universe,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Sorcerer's Apprentice,,,1998-05-01 04:00:00 +0000,Why technology has no real life of its own.,,,,0916-the-sorcerers-apprentice,.md,,
false,'_categories/journalism.md',article,_publications/paper.md,Piloted to the Promised Land,The Palm Pilot Cut,"",1998-06-01 04:00:00 +0000,"",June 1998,"","",piloted-to-the-promised-land,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Tilting at Windows,,,1998-06-04 04:00:00 +0000,,,,,1023-tilting-at-windows,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Much of What We Call Interactive Really Isn't,,,1998-06-13 04:00:00 +0000,,,,,1029-much-of-what-we-call-interactive-really-,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Microsoft Marches On,,,1998-06-25 04:00:00 +0000,,,,,0946-microsoft-marches-on,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Godzilla Factor,,,1998-07-01 04:00:00 +0000,"Why the movie, and the New Economy, failed.",,,,0909-the-godzilla-factor,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Fight for the Future,,,1998-08-01 04:00:00 +0000,The X-Files movie and Windows 98.,,,,0872-fight-for-the-future,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Why Futurists Suck,,,1998-08-01 04:00:00 +0000,How the future is used to change the present.,,,,0922-why-futurists-suck,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Will Software Agents Rob Us Of Our Identities,,,1998-08-08 04:00:00 +0000,,,,,1028-will-software-agents-rob-us-of-our-ident,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Depress This,,,1998-09-01 04:00:00 +0000,Study shows Internet use is depressing. So is real life.,,,,0864-depress-this,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Ghost in My Machine,,,1998-09-01 04:00:00 +0000,The end of my association with Windows PC's.,,,,0908-the-ghost-in-my-machine,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The New Dope On Video Games,,,1998-09-05 04:00:00 +0000,,,,,1026-the-new-dope-on-video-games,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Call Waiting,,,1998-10-01 04:00:00 +0000,Technology & Truth,,,,0858-call-waiting,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Extra Life,,,1998-10-01 04:00:00 +0000,"Computers, Not Just Software, Should be Taught in School",,,,0869-extra-life,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Manmade Materials,,,1998-10-01 04:00:00 +0000,Is Anything Not Natural?,,,,0885-manmade-materials,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Computer Literacy Not What It Used To Be,,,1998-10-24 04:00:00 +0000,,,,,1030-computer-literacy-not-what-it-used-to-be,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Kids Are Back,,,1998-11-01 05:00:00 +0000,Hotline Reinvents the Internet,,,,0911-the-kids-are-back,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,"Predictions, Anyone?",,,1998-12-01 05:00:00 +0000,Predictions and Anti-predictions for the Coming Decade,,,,0894-predictions-anyone,.md,,
false,'_categories/book-chapters.md',article,_publications/debating-democracy.md,People Shape the Media,"","",1999-01-01 05:00:00 +0000,"",1999,"","",people-shape-the-media,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Stockbrokers seek a Net profit,"","",1999-01-21 05:00:00 +0000,"","[https://www.theguardian.com/technology/1999/jan/21/onlinesupplement4](https://www.theguardian.com/technology/1999/jan/21/onlinesupplement4 ""https://www.theguardian.com/technology/1999/jan/21/onlinesupplement4"")","","",stockbrokers-seek-a-net-profit,.md,,
false,'_categories/book-chapters.md',article,_publications/the-economics-technology-and-content-of-digital-tv.md,The End of the Story,How the TV Remote Killed Traditional Structure,"",1999-01-31 05:00:00 +0000,"",Date from Amazon,"","",the-end-of-the-story,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Sports may be the Internet's 'killer app',,,1999-02-13 05:00:00 +0000,,,,,1031-sports-may-be-the-internets-killer-app,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,RTMark,,,1999-04-01 05:00:00 +0000,"The ultimate friend of media pranks may just be a prank, too.",,,,0952-rtmark,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Electronica,,,1999-05-01 04:00:00 +0000,The True Cyber Culture,,,,0867-electronica,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Get Loud!,,,1999-05-01 04:00:00 +0000,The Knicks Noise-Meter and the Pitfalls of Interactive Style,,,,0875-get-loud,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Lugging Their Laptops,,,1999-05-01 04:00:00 +0000,Some surprising answers from cyber-have children about the joys of computing.,,,,0884-lugging-their-laptops,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Nowhere to Run,,,1999-05-01 04:00:00 +0000,Y2K Survivalists,,,,0890-nowhere-to-run,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Slaves of the cyberculture,,,1999-05-13 04:00:00 +0000,,,,,1024-slaves-of-the-cyberculture,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Computer Made Me Do It,,,1999-06-01 04:00:00 +0000,Media-Bashing in America,,,,0903-the-computer-made-me-do-it,.md,,
false,'_categories/book-chapters.md',article,_publications/2sexe.md,STD Etiquette,"","",1999-07-30 04:00:00 +0000,"",Date from Amazon,"","",std-etiquette,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Moviefone Syndrome,,,1999-08-01 04:00:00 +0000,How Convenience Becomes Coercion,,,,0959-the-moviefone-syndrome,.md,,
false,'_categories/book-chapters.md',article,_publications/the-new-top-line.md,Let Them Eat Apple Pie,Cultural Imperialism and the Internet,"",1999-08-01 04:00:00 +0000,"",Date from Amazon,"","",let-them-eat-apple-pie,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Free Inside,,,1999-09-01 04:00:00 +0000,Novelty versus commodity,,,,0873-free-inside,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,A technology genius has Silicon Valley drooling - by doing things the natural way,"","",1999-10-06 04:00:00 +0000,"","[https://www.theguardian.com/technology/1999/oct/07/onlinesupplement17](https://www.theguardian.com/technology/1999/oct/07/onlinesupplement17 ""https://www.theguardian.com/technology/1999/oct/07/onlinesupplement17"")","","",a-technology-genius-has-silicon-valley-drooling-by-doing-things-the-natural-way,.md,,
false,'_categories/journalism.md',article,_publications/the-edge.md,"""The Thing That I Call Doug""",A Talk with Douglas Rushkoff,"",1999-10-25 04:00:00 +0000,"","[https://www.edge.org/3rd_culture/rushkoff/rushkoff_index.html](https://www.edge.org/3rd_culture/rushkoff/rushkoff_index.html ""https://www.edge.org/3rd_culture/rushkoff/rushkoff_index.html"")","","",the-thing-that-i-call-doug,.md,,
false,'_categories/journalism.md',article,_publications/adbusters.md,Let It Grow,"",,1999-11-01 05:00:00 +0000,,,,,0001-let-it-grow,.md,,
false,'_categories/journalism.md',article,_publications/this.md,Rave Against The Machine,,,1999-11-01 05:00:00 +0000,"Rave culture once promised something truly extraordinary, capable of transforming the world... The spirit is gone.",,,,1034-rave-against-the-machine,.md,,
false,'_categories/journalism.md',article,_publications/this-magazine.md,Rave Against The Machine,How Rave Became Business,"",1999-11-01 05:00:00 +0000,"",Nov/Dec 1999 according to citation in Rave Culture and Religion,"","",losing-the-plot,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Second Sight,"","",1999-11-03 05:00:00 +0000,"","[https://www.theguardian.com/technology/1999/nov/04/onlinesupplement13](https://www.theguardian.com/technology/1999/nov/04/onlinesupplement13 ""https://www.theguardian.com/technology/1999/nov/04/onlinesupplement13"")","","",second-sight-4,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Remember the Sabbath,,,1999-12-01 05:00:00 +0000,An Argument in Favor of A Day Off,,,,0897-remember-the-sabbath,.md,,
false,'_categories/journalism.md',article,_publications/yahoo_internet_life.md,"Your web, or theirs?","","",1999-12-01 05:00:00 +0000,"This article isn't trying to sell you anything. Or is it? In the future, you won't be able to tell",Dec. 1999 issue,"","",your-web-or-theirs,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Perils of 646,,,2000-01-01 05:00:00 +0000,Why My Area Code Doesn't Work,,,,0914-the-perils-of-646,.md,,
false,'_categories/journalism.md',article,_publications/the-edge.md,America's Descent Into Computer-Aided Unconsciousness And Consumer Fascism,"","",2000-01-01 05:00:00 +0000,"","[https://www.edge.org/response-detail/11921](https://www.edge.org/response-detail/11921 ""https://www.edge.org/response-detail/11921"")","","",america-s-descent-into-computer-aided-unconsciousness-and-consumer-fascism-1,.md,,
false,'_categories/journalism.md',article,_publications/harper-s-magazine.md,The Digital Revolution Eats Its Own,"","",2000-01-01 05:00:00 +0000,"","Source: [https://indexarticles.com/arts/harpers-magazine/the-digital-revolution-eats-its-own/](https://indexarticles.com/arts/harpers-magazine/the-digital-revolution-eats-its-own/ ""https://indexarticles.com/arts/harpers-magazine/the-digital-revolution-eats-its-own/"")

Date: January 2000 per [https://harpers.org/archive/2000/01/the-digital-revolution-eats-its-own/](https://harpers.org/archive/2000/01/the-digital-revolution-eats-its-own/ ""https://harpers.org/archive/2000/01/the-digital-revolution-eats-its-own/"")","","",the-digital-revolution-eats-its-own,.md,,
false,'_categories/book-chapters.md',article,_publications/fresh-cream.md,Children of Chaos: Surviving the End of the World as We Know It,"","",2000-01-11 05:00:00 +0000,"",Date from Amazon,"","",children-of-chaos-surviving-the-end-of-the-world-as-we-know-it,.md,,
false,'_categories/book-chapters.md',article,_publications/the-greatest-inventions-of-the-past-2-000-years.md,The Eraser,"","",2000-01-12 05:00:00 +0000,"",Date from Amazon,"","",the-eraser,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Why Time is up for Warner,Douglas Rushkoff on the $300bn deal that's a merger in name only,"",2000-01-19 05:00:00 +0000,"[https://www.theguardian.com/technology/2000/jan/20/onlinesupplement10](https://www.theguardian.com/technology/2000/jan/20/onlinesupplement10 ""https://www.theguardian.com/technology/2000/jan/20/onlinesupplement10"")","","","",why-time-is-up-for-warner,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Yahoo's Last Stand,,,2000-02-01 05:00:00 +0000,When Hackers Attack,,,,0925-yahoos-last-stand,.md,,
false,'_categories/journalism.md',article,_publications/silicon-alley-reporter.md,Media Has Morphed,"","",2000-02-01 05:00:00 +0000,"The way to benefit from and even enjoy the tremendous change in our industry is to develop a long-term view. The object of the game is not to make fast cash and drop out--it's to succeed in the long run. Slow and steady still wins the race, no matter how accelerated the computer chip.","issue 31, Feb. 2000","","",media-has-morphed,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Mega media is mediocre,,,2000-02-09 05:00:00 +0000,Douglas Rushkoff explains why he's not afraid of media monopolies,"[https://www.theguardian.com/technology/2000/feb/10/onlinesupplement6](https://www.theguardian.com/technology/2000/feb/10/onlinesupplement6 ""https://www.theguardian.com/technology/2000/feb/10/onlinesupplement6"")",,,0887-monopoly,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The net strikes back,,,2000-02-14 05:00:00 +0000,"Hackers Remind Us That The Internet Isn't A Safe, Suburban Mall Constructed Just For Corporate America","[https://www.theguardian.com/technology/2000/feb/14/hacking.security](https://www.theguardian.com/technology/2000/feb/14/hacking.security ""https://www.theguardian.com/technology/2000/feb/14/hacking.security"")",,,1025-the-net-strikes-back,.md,,
false,'_categories/journalism.md',article,_publications/authorship.md,Douglas Rushkoff,"","",2000-03-01 05:00:00 +0000,"",Spring 2000,"","",douglas-rushkoff,.md,,
false,'_categories/journalism.md',article,_publications/london_times.md,Which One of These Sneakers Is Me?,,,2000-03-30 05:00:00 +0000,How Marketers Outsmart Our Media-Savvy Children,"Date from [https://depaul.digication.com/walis_words/Rhetorical_Essay](https://depaul.digication.com/walis_words/Rhetorical_Essay ""https://depaul.digication.com/walis_words/Rhetorical_Essay"")  

Date given as 10/99 on CV and as 4/13/09 on [http://web.archive.org/web/20111105082842/https://rushkoff.com/articles-individual/2009/4/13/which-one-of-these-sneakers-is-me.html](http://web.archive.org/web/20111105082842/https://rushkoff.com/articles-individual/2009/4/13/which-one-of-these-sneakers-is-me.html ""http://web.archive.org/web/20111105082842/https://rushkoff.com/articles-individual/2009/4/13/which-one-of-these-sneakers-is-me.html"")",,,0969-which-one-of-these-sneakers-is-me,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,"It's a Model, Stupid",,,2000-04-01 05:00:00 +0000,Telling the Map From the Territory,,,,0879-its-a-model-stupid,.md,,
false,'_categories/journalism.md',article,_publications/red_herring.md,The Secret Architecture,,,2000-05-01 04:00:00 +0000,The real space of cyberspace,May 2000,,,0763-the-hidden-architecure-of-the-internet,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Napster Love,,,2000-05-01 04:00:00 +0000,How Napster amounts to little more than a consumer revolt.,,,,0889-napster-love,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Warning: This Film Contains Digital Images,"","",2000-05-31 04:00:00 +0000,"","[https://www.theguardian.com/technology/2000/jun/01/onlinesupplement8](https://www.theguardian.com/technology/2000/jun/01/onlinesupplement8 ""https://www.theguardian.com/technology/2000/jun/01/onlinesupplement8"")","","",warning-this-film-contains-digital-images,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Blinded by the Bytes,,,2000-06-01 04:00:00 +0000,Why the MP3 Format Sucks,,,,0854-blinded-by-the-bytes,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,The Internet Is Not Killing off Conversation but Actively Encouraging It,"","",2000-06-28 04:00:00 +0000,The internet is not killing off conversation but actively encouraging it,"[https://www.theguardian.com/technology/2000/jun/29/onlinesupplement13](https://www.theguardian.com/technology/2000/jun/29/onlinesupplement13 ""https://www.theguardian.com/technology/2000/jun/29/onlinesupplement13"")","","",second-sight,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Social Currency,The internet is not killing off conversation but actively encouraging it,"",2000-06-28 04:00:00 +0000,"","Source: [https://www.theguardian.com/technology/2000/jun/29/onlinesupplement13](https://www.theguardian.com/technology/2000/jun/29/onlinesupplement13 ""https://www.theguardian.com/technology/2000/jun/29/onlinesupplement13"")

Title from [https://web.archive.org/web/20040810152732/http://www.rushkoff.com/cgi-bin/columns/display.cgi/social_currency](https://web.archive.org/web/20040810152732/http://www.rushkoff.com/cgi-bin/columns/display.cgi/social_currency ""https://web.archive.org/web/20040810152732/http://www.rushkoff.com/cgi-bin/columns/display.cgi/social_currency"")","","",social-currency,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Buying a Computer for Mom,,,2000-07-01 04:00:00 +0000,"Why it's so hard to find something that works, anymore.",,,,0856-buying-a-computer-for-mom,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,Second Sight,,,2000-08-23 04:00:00 +0000,,"[https://www.theguardian.com/technology/2000/aug/24/internetnews.onlinesupplement4](https://www.theguardian.com/technology/2000/aug/24/internetnews.onlinesupplement4 ""https://www.theguardian.com/technology/2000/aug/24/internetnews.onlinesupplement4"")",,,1020-thanks-to-the-profitdriven-motives-of-bi,.md,,
false,'_categories/journalism.md',article,_publications/nyt_syndicate_guardian_of_london.md,We have fought against censorship on the internet - but are we unconsciously censoring ourselves?,"","",2000-09-27 04:00:00 +0000,"","[https://www.theguardian.com/technology/2000/sep/28/onlinesupplement.censorship](https://www.theguardian.com/technology/2000/sep/28/onlinesupplement.censorship ""https://www.theguardian.com/technology/2000/sep/28/onlinesupplement.censorship"")","","",we-have-fought-against-censorship-on-the-internet-but-are-we-unconsciously-censoring-ourselves,.md,,
